City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Kapaa,US,80.6,moderate rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
3,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
14,Saint-Georges,GD,80.6,few clouds,12.06,-61.75,Siesta Hotel
29,Yulara,AU,82.4,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
33,Tabou,CI,78.44,broken clouds,4.42,-7.35,hotêl doufoulougou
38,The Valley,AI,81.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
61,Sahuaripa,MX,75.49,clear sky,29.05,-109.23,Estatua de Sahuaripa
69,Butaritari,KI,81.28,few clouds,3.07,172.79,Isles Sunset Lodge
71,Jeremie,HT,79.12,light rain,18.65,-74.12,Auberge’Inn
72,Ewa Beach,US,87.8,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
84,Boa Vista,BR,77.0,broken clouds,2.82,-60.67,Aipana Plaza Hotel
91,Bengkulu,ID,80.91,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
92,Atuona,PF,77.47,light rain,-9.8,-139.03,Villa Enata
95,Cabo San Lucas,MX,80.6,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
98,Sungairaya,ID,84.52,overcast clouds,0.7,108.9,808 artel
100,Akropong,GH,80.6,few clouds,5.97,-0.09,Vip Lodge
101,Airai,TL,78.69,few clouds,-8.93,125.41,Juvinal Martin
113,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
116,Puerto Madero,MX,75.2,heavy intensity rain,14.72,-92.42,Hotel La Central
117,Matamoros,MX,82.4,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
120,Daru,PG,82.13,broken clouds,-9.08,143.21,New century hotel
121,Yeppoon,AU,82.4,scattered clouds,-23.13,150.73,Villa Mar Colina
124,Poum,NC,76.51,clear sky,-20.23,164.02,Gîte kajeon
127,Faanui,PF,79.38,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Vila Velha,BR,77.0,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
137,Presidencia Roque Saenz Pena,AR,75.96,clear sky,-26.79,-60.44,Hotel Aconcagua
141,Sao Filipe,CV,79.29,overcast clouds,14.9,-24.5,Tortuga B&B
143,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
148,Tsabong,BW,76.87,clear sky,-26.02,22.4,Springbok Motel
155,Paracuru,BR,80.6,few clouds,-3.41,-39.03,Hotel Vento Brasil
158,Tiruchchendur,IN,80.62,light rain,8.48,78.12,Hotel Udhayam International
