City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Miraflores,MX,2020-10-30 01:38:21,19.22,-98.81,71.01,32,40,13.87
1,Tual,ID,2020-10-30 01:38:54,-5.67,132.75,82.87,73,0,9.42
2,Busselton,AU,2020-10-30 01:34:22,-33.65,115.33,78.01,30,0,6.02
3,Port Elizabeth,ZA,2020-10-30 01:38:54,-33.92,25.57,55.4,82,0,11.41
4,Vestmannaeyjar,IS,2020-10-30 01:37:24,63.44,-20.27,45.77,78,100,20.09
5,Ushuaia,AR,2020-10-30 01:35:28,-54.8,-68.3,44.6,70,75,12.75
6,Vao,NC,2020-10-30 01:36:15,-22.67,167.48,73.94,82,99,18.41
7,Upernavik,GL,2020-10-30 01:38:54,72.79,-56.15,22.91,97,100,5.03
8,College,US,2020-10-30 01:35:33,64.86,-147.8,17.6,72,90,5.82
9,Kerman,IR,2020-10-30 01:38:54,30.28,57.08,35.6,29,0,4.7
10,Isangel,VU,2020-10-30 01:34:29,-19.55,169.27,82.4,69,75,11.41
11,Mataura,NZ,2020-10-30 01:34:23,-46.19,168.86,60.01,90,100,1.99
12,Punta Arenas,CL,2020-10-30 01:38:54,-53.15,-70.92,46.0,75,75,5.82
13,Faanui,PF,2020-10-30 01:37:13,-16.48,-151.75,80.22,79,0,9.98
14,Georgetown,MY,2020-10-30 01:34:35,5.41,100.34,82.4,83,20,5.82
15,Bambous Virieux,MU,2020-10-30 01:38:54,-20.34,57.76,68.0,70,17,10.0
16,Novikovo,RU,2020-10-30 01:38:54,51.15,37.89,42.96,85,100,4.14
17,Cabo San Lucas,MX,2020-10-30 01:38:55,22.89,-109.91,77.0,57,20,12.75
18,Concordia,AR,2020-10-30 01:38:55,-31.39,-58.02,53.42,70,0,11.05
19,Kapaa,US,2020-10-30 01:35:21,22.08,-159.32,82.4,58,1,11.41
20,Hobart,AU,2020-10-30 01:36:58,-42.88,147.33,64.0,59,20,13.87
21,Ilulissat,GL,2020-10-30 01:34:48,69.22,-51.1,19.4,73,69,3.36
22,Pervomayskiy,RU,2020-10-30 01:38:55,53.25,40.29,37.99,76,99,7.76
23,Sitka,US,2020-10-30 01:38:55,57.05,-135.33,44.6,81,40,10.29
24,Port Alfred,ZA,2020-10-30 01:35:33,-33.59,26.89,60.62,67,100,14.27
25,Mar Del Plata,AR,2020-10-30 01:38:34,-38.0,-57.56,50.0,87,0,7.72
26,Saldanha,ZA,2020-10-30 01:35:41,-33.01,17.94,44.6,81,0,8.05
27,Mason City,US,2020-10-30 01:35:51,43.15,-93.2,30.99,79,75,8.05
28,Cape Town,ZA,2020-10-30 01:34:20,-33.93,18.42,51.01,75,20,2.24
29,Tambo Grande,PE,2020-10-30 01:38:55,-4.93,-80.34,70.47,65,100,7.9
30,Dikson,RU,2020-10-30 01:38:55,73.51,80.55,9.1,93,100,25.9
31,Alanya,TR,2020-10-30 01:38:55,36.54,32.0,59.0,93,0,4.7
32,Tocopilla,CL,2020-10-30 01:38:55,-22.09,-70.2,61.43,50,0,1.54
33,Tyulyachi,RU,2020-10-30 01:38:55,55.89,50.24,30.2,92,0,11.18
34,Yellowknife,CA,2020-10-30 01:35:02,62.46,-114.35,17.01,94,80,3.58
35,Te Anau,NZ,2020-10-30 01:38:55,-45.42,167.72,57.49,92,100,3.62
36,Carnarvon,AU,2020-10-30 01:38:56,-24.87,113.63,77.0,69,75,14.99
37,Cherskiy,RU,2020-10-30 01:38:56,68.75,161.3,7.81,93,100,3.49
38,Thompson,CA,2020-10-30 01:38:56,55.74,-97.86,23.2,98,88,5.32
39,Ancud,CL,2020-10-30 01:37:08,-41.87,-73.82,51.01,76,79,12.75
40,New Norfolk,AU,2020-10-30 01:38:45,-42.78,147.06,64.0,52,85,1.99
41,Pisco,PE,2020-10-30 01:38:56,-13.7,-76.22,63.0,82,0,19.46
42,Khatanga,RU,2020-10-30 01:36:19,71.97,102.5,0.95,85,0,11.74
43,Caluquembe,AO,2020-10-30 01:38:56,-13.78,14.68,63.39,80,83,1.36
44,Strezhevoy,RU,2020-10-30 01:37:20,60.73,77.59,21.2,92,90,2.82
45,Huaraz,PE,2020-10-30 01:38:56,-9.53,-77.53,54.21,63,100,4.09
46,Harlingen,US,2020-10-30 01:38:56,26.19,-97.7,66.99,42,1,9.17
47,Nikolskoye,RU,2020-10-30 01:38:56,59.7,30.79,50.0,93,90,1.9
48,Castro,BR,2020-10-30 01:38:37,-24.79,-50.01,60.24,96,100,5.19
49,Cockburn Town,TC,2020-10-30 01:38:56,21.46,-71.14,82.42,79,36,17.85
50,Nanortalik,GL,2020-10-30 01:34:22,60.14,-45.24,29.8,94,100,12.03
51,Usinsk,RU,2020-10-30 01:38:56,65.99,57.53,37.36,95,100,16.75
52,Saint Anthony,US,2020-10-30 01:38:56,45.02,-93.22,32.0,68,1,2.15
53,Tiksi,RU,2020-10-30 01:38:40,71.69,128.87,9.86,95,98,5.46
54,Butaritari,KI,2020-10-30 01:35:41,3.07,172.79,82.04,75,72,11.52
55,Balad,IQ,2020-10-30 01:38:56,34.02,44.15,61.36,48,46,1.05
56,Albany,US,2020-10-30 01:35:02,42.6,-73.97,42.01,89,100,10.85
57,Kununurra,AU,2020-10-30 01:38:56,-15.77,128.73,93.2,46,92,4.7
58,Bengkulu,ID,2020-10-30 01:38:56,-3.8,102.27,76.6,87,99,2.71
59,Camacha,PT,2020-10-30 01:34:16,33.08,-16.33,68.0,77,20,8.05
60,Saint-Philippe,RE,2020-10-30 01:35:25,-21.36,55.77,69.8,56,75,13.87
61,Tasiilaq,GL,2020-10-30 01:38:57,65.61,-37.64,37.4,59,100,21.92
62,Torbay,CA,2020-10-30 01:34:31,47.67,-52.73,41.0,82,97,5.01
63,Puerto Ayora,EC,2020-10-30 01:38:57,-0.74,-90.35,69.01,92,100,4.0
64,Bluff,NZ,2020-10-30 01:38:35,-46.6,168.33,60.01,90,100,1.99
65,Rikitea,PF,2020-10-30 01:35:22,-23.12,-134.97,75.56,73,100,6.73
66,Bahia Blanca,AR,2020-10-30 01:38:57,-38.72,-62.27,52.11,43,0,8.41
67,Clyde River,CA,2020-10-30 01:36:27,70.47,-68.59,19.17,94,100,11.3
68,Lompoc,US,2020-10-30 01:38:57,34.64,-120.46,62.6,82,1,11.41
69,Tautira,PF,2020-10-30 01:38:57,-17.73,-149.15,84.2,70,40,13.87
70,Malartic,CA,2020-10-30 01:37:05,48.13,-78.13,15.01,84,0,5.01
71,Waddan,LY,2020-10-30 01:38:57,29.16,16.14,57.0,78,49,5.1
72,Kissamos,GR,2020-10-30 01:38:57,35.49,23.66,66.99,87,20,6.42
73,Hermanus,ZA,2020-10-30 01:38:57,-34.42,19.23,46.0,88,42,1.01
74,Samsun,TR,2020-10-30 01:38:57,41.25,36.33,62.6,88,75,4.7
75,Provideniya,RU,2020-10-30 01:38:57,64.38,-173.3,26.6,63,0,0.51
76,Taltal,CL,2020-10-30 01:38:57,-25.4,-70.48,57.13,72,36,3.83
77,Ponta Do Sol,PT,2020-10-30 01:38:58,32.67,-17.1,69.8,64,20,10.29
78,Puerto Carreno,CO,2020-10-30 01:38:58,6.19,-67.49,80.78,84,98,3.91
79,Sapouy,BF,2020-10-30 01:38:58,11.55,-1.77,74.12,28,0,1.92
80,Longyearbyen,SJ,2020-10-30 01:38:58,78.22,15.64,19.4,57,20,17.22
81,Kamogawa,JP,2020-10-30 01:38:58,35.1,140.1,64.99,47,75,12.75
82,Santa Maria,BR,2020-10-30 01:35:19,-29.68,-53.81,64.4,55,40,5.82
83,Prince George,CA,2020-10-30 01:34:34,53.92,-122.75,33.01,97,100,4.61
84,Barrow,US,2020-10-30 01:34:22,71.29,-156.79,21.2,85,75,6.93
85,Berndorf,AT,2020-10-30 01:38:58,47.95,16.11,48.99,87,94,3.0
86,Arraial Do Cabo,BR,2020-10-30 01:34:24,-22.97,-42.03,75.02,94,96,3.87
87,Farafangana,MG,2020-10-30 01:38:58,-22.82,47.83,70.75,77,79,13.76
88,Jalu,LY,2020-10-30 01:38:58,29.03,21.55,61.43,81,0,8.5
89,Eastchester,US,2020-10-30 01:34:17,40.89,-73.83,48.99,93,90,21.92
90,Carmo Do Paranaiba,BR,2020-10-30 01:38:58,-19.0,-46.32,69.03,87,100,2.77
91,Bandarbeyla,SO,2020-10-30 01:38:58,9.49,50.81,77.79,84,80,8.55
92,Katherine,AU,2020-10-30 01:38:58,-14.47,132.27,93.2,38,12,9.17
93,Tuktoyaktuk,CA,2020-10-30 01:38:41,69.45,-133.04,5.29,95,25,6.13
94,Hovd,MN,2020-10-30 01:38:58,48.01,91.64,27.84,70,37,8.68
95,Labuhan,ID,2020-10-30 01:38:59,-6.88,112.21,87.51,61,86,9.53
96,Deming,US,2020-10-30 01:38:59,32.27,-107.76,55.4,47,1,8.05
97,Qaanaaq,GL,2020-10-30 01:35:29,77.48,-69.36,4.96,71,5,6.29
98,Dolores,AR,2020-10-30 01:38:59,-36.31,-57.68,39.9,85,0,6.4
99,Maumere,ID,2020-10-30 01:38:59,-8.62,122.21,86.02,64,98,0.85
100,Hasaki,JP,2020-10-30 01:38:59,35.73,140.83,61.0,54,75,6.93
101,Lagoa,PT,2020-10-30 01:38:59,39.05,-27.98,67.24,90,100,10.78
102,Mackay,AU,2020-10-30 01:38:59,-21.15,149.2,91.0,43,0,16.11
103,Tuatapere,NZ,2020-10-30 01:38:59,-46.13,167.68,60.01,90,100,1.99
104,Southbridge,US,2020-10-30 01:38:59,42.08,-72.03,42.01,99,100,3.0
105,Tommot,RU,2020-10-30 01:37:41,58.96,126.29,14.16,93,100,0.43
106,Northam,GB,2020-10-30 01:34:00,51.03,-4.22,60.01,92,100,10.0
107,Batemans Bay,AU,2020-10-30 01:38:59,-35.72,150.18,66.99,76,99,5.01
108,Qaqortoq,GL,2020-10-30 01:38:59,60.72,-46.03,30.2,80,80,3.36
109,Ardakan,IR,2020-10-30 01:36:28,32.31,54.02,53.6,27,0,4.7
110,Saskylakh,RU,2020-10-30 01:39:00,71.92,114.08,-0.15,84,47,6.13
111,Rawson,AR,2020-10-30 01:39:00,-43.3,-65.1,52.39,60,50,10.29
112,Harper,LR,2020-10-30 01:39:00,4.38,-7.72,76.93,90,99,8.28
113,Murgab,TM,2020-10-30 01:39:00,37.5,61.97,37.4,55,0,4.7
114,Bredasdorp,ZA,2020-10-30 01:39:00,-34.53,20.04,51.8,62,12,5.82
115,Rundu,NA,2020-10-30 01:39:00,-17.93,19.77,70.0,52,2,5.84
116,Aklavik,CA,2020-10-30 01:39:00,68.22,-135.01,9.23,92,35,6.71
117,Nguru,NG,2020-10-30 01:39:00,12.88,10.45,77.5,22,0,8.68
118,Avarua,CK,2020-10-30 01:39:00,-21.21,-159.78,77.0,69,97,9.17
119,Qiqihar,CN,2020-10-30 01:39:00,47.34,123.97,41.34,58,100,17.29
120,Gondar,ET,2020-10-30 01:39:00,12.6,37.47,56.23,45,0,4.25
121,Yerbogachen,RU,2020-10-30 01:36:43,61.28,108.01,14.34,95,100,5.79
122,Palmer,US,2020-10-30 01:34:29,42.16,-72.33,44.01,93,90,12.75
123,Ribeira Grande,PT,2020-10-30 01:36:14,38.52,-28.7,67.64,84,100,7.81
124,Jamestown,US,2020-10-30 01:35:48,42.1,-79.24,44.01,87,90,8.05
125,Mbinga,TZ,2020-10-30 01:39:00,-10.93,35.02,69.8,64,5,9.17
126,Stokmarknes,NO,2020-10-30 01:39:01,68.56,14.91,35.01,70,36,1.99
127,Brae,GB,2020-10-30 01:39:01,60.4,-1.35,50.0,93,100,33.33
