City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Jalu,LY,2020-11-08 00:38:49,29.03,21.55,60.71,83,0,10.16,clear sky
1,Nizwa,OM,2020-11-08 00:38:49,22.93,57.53,64.9,79,0,1.16,clear sky
2,Kapaa,US,2020-11-08 00:38:50,22.08,-159.32,80.6,83,90,8.05,moderate rain
3,Vaini,TO,2020-11-08 00:38:50,-21.2,-175.2,82.4,69,20,5.82,few clouds
4,Sioux Lookout,CA,2020-11-08 00:37:14,50.1,-91.92,32.0,92,90,3.36,light intensity drizzle
5,Busselton,AU,2020-11-08 00:38:50,-33.65,115.33,66.0,84,97,1.01,overcast clouds
6,Tiksi,RU,2020-11-08 00:38:50,71.69,128.87,-6.56,92,71,2.28,broken clouds
7,New Norfolk,AU,2020-11-08 00:38:50,-42.78,147.06,64.99,47,20,5.82,few clouds
8,Codrington,AU,2020-11-08 00:38:50,-38.27,141.97,60.31,66,0,8.99,clear sky
9,Vanavara,RU,2020-11-08 00:38:50,60.34,102.28,18.28,97,100,4.9,snow
10,Ushuaia,AR,2020-11-08 00:38:51,-54.8,-68.3,57.2,47,40,20.8,shower rain
11,Zaqatala,AZ,2020-11-08 00:38:51,41.63,46.64,48.2,81,40,4.7,scattered clouds
12,Marmaris,TR,2020-11-08 00:38:51,36.85,28.27,64.99,51,0,6.93,clear sky
13,Nikolskoye,RU,2020-11-08 00:38:51,59.7,30.79,46.99,87,75,8.95,light rain
14,Saint-Georges,GD,2020-11-08 00:38:51,12.06,-61.75,80.6,88,20,14.99,few clouds
15,Cuamba,MZ,2020-11-08 00:38:51,-14.8,36.54,74.37,48,0,7.72,clear sky
16,Severo-Kurilsk,RU,2020-11-08 00:38:51,50.68,156.12,36.72,76,10,4.65,clear sky
17,Mayo,US,2020-11-08 00:34:51,38.89,-76.51,55.99,87,1,3.76,clear sky
18,Hamilton,US,2020-11-08 00:37:43,39.18,-84.53,61.0,71,1,2.73,clear sky
19,Lensk,RU,2020-11-08 00:38:52,60.73,114.93,1.08,90,52,3.11,broken clouds
20,Hermanus,ZA,2020-11-08 00:38:52,-34.42,19.23,57.0,85,91,8.01,light rain
21,Rikitea,PF,2020-11-08 00:38:52,-23.12,-134.97,71.69,73,100,16.24,overcast clouds
22,Yar-Sale,RU,2020-11-08 00:38:52,66.83,70.83,25.03,99,89,1.63,overcast clouds
23,Dikson,RU,2020-11-08 00:38:52,73.51,80.55,-2.52,89,100,13.76,overcast clouds
24,Nanortalik,GL,2020-11-08 00:38:53,60.14,-45.24,29.75,95,100,9.22,overcast clouds
25,Bluff,NZ,2020-11-08 00:38:54,-46.6,168.33,54.0,52,33,10.0,scattered clouds
26,Hobart,AU,2020-11-08 00:38:46,-42.88,147.33,64.99,47,20,5.82,few clouds
27,Avera,US,2020-11-08 00:38:11,33.19,-82.53,73.4,73,90,9.17,overcast clouds
28,Mehamn,NO,2020-11-08 00:38:55,71.04,27.85,38.57,75,89,29.57,light rain
29,Yulara,AU,2020-11-08 00:38:55,-25.24,130.99,82.4,10,91,14.99,overcast clouds
30,Aklavik,CA,2020-11-08 00:34:03,68.22,-135.01,26.6,68,40,4.7,scattered clouds
31,Saskylakh,RU,2020-11-08 00:38:56,71.92,114.08,-8.99,89,7,8.08,clear sky
32,Ribeira Grande,PT,2020-11-08 00:38:56,38.52,-28.7,61.45,72,8,13.33,light rain
33,Tabou,CI,2020-11-08 00:38:56,4.42,-7.35,78.44,87,52,5.97,broken clouds
34,Fortuna,US,2020-11-08 00:38:57,40.6,-124.16,52.0,71,75,18.34,broken clouds
35,Sao Joao Da Barra,BR,2020-11-08 00:38:57,-21.64,-41.05,73.89,86,99,7.34,overcast clouds
36,Port Elizabeth,ZA,2020-11-08 00:38:57,-33.92,25.57,60.8,87,0,6.93,clear sky
37,Albany,US,2020-11-08 00:35:30,42.6,-73.97,55.99,58,25,4.16,scattered clouds
38,The Valley,AI,2020-11-08 00:37:24,18.22,-63.06,81.0,78,40,11.41,scattered clouds
39,Grand Gaube,MU,2020-11-08 00:38:57,-20.01,57.66,71.01,80,9,3.0,clear sky
40,Saint-Philippe,RE,2020-11-08 00:38:57,-21.36,55.77,69.8,77,20,6.93,few clouds
41,Machalpur,IN,2020-11-08 00:39:00,24.13,76.3,61.18,37,0,2.3,clear sky
42,Reftinskiy,RU,2020-11-08 00:39:00,57.09,61.68,37.4,94,75,8.95,broken clouds
43,Hasaki,JP,2020-11-08 00:39:00,35.73,140.83,64.4,88,75,4.7,broken clouds
44,Mataura,NZ,2020-11-08 00:39:00,-46.19,168.86,54.0,52,0,10.0,clear sky
45,Qaanaaq,GL,2020-11-08 00:39:01,77.48,-69.36,-12.6,70,0,10.47,clear sky
46,Abano Terme,IT,2020-11-08 00:39:01,45.36,11.79,51.01,90,0,0.98,clear sky
47,Clyde River,CA,2020-11-08 00:39:01,70.47,-68.59,-5.8,76,20,8.05,few clouds
48,Cape Town,ZA,2020-11-08 00:34:43,-33.93,18.42,57.99,93,75,13.87,moderate rain
49,Williams Lake,CA,2020-11-08 00:34:57,52.14,-122.14,26.6,58,40,20.8,scattered clouds
50,Bulgan,MN,2020-11-08 00:39:02,48.81,103.53,28.22,87,0,3.27,clear sky
51,Esso,RU,2020-11-08 00:39:02,55.93,158.7,18.01,89,10,1.63,clear sky
52,Pisco,PE,2020-11-08 00:39:02,-13.7,-76.22,64.4,77,20,10.29,few clouds
53,Carnarvon,AU,2020-11-08 00:39:02,-24.87,113.63,73.4,69,40,16.11,scattered clouds
54,Jamestown,US,2020-11-08 00:34:05,42.1,-79.24,60.8,41,1,5.82,clear sky
55,Ahipara,NZ,2020-11-08 00:39:02,-35.17,173.17,65.8,62,0,13.78,clear sky
